CLF,142
CLOV,98
WISH,88
AMC,70
BB,63
CLNE,58
GME,55
UWMC,54
WKHS,49
WWE,41
BCX,34
RKT,31
CPI,22
BCRX,22
TLRY,21
AMD,16
NVAX,14
BARK,12
STAR,12
HAE,12
POSH,11
BBBY,10
PH,10
AMAT,10
MT,9
SPCE,8
UK,7
SNDL,7
TWNK,6
PT,6
RNA,6
URNM,6
RIDE,5
SOFI,5
SENS,5
SPY,5
TSLA,5
IDEX,5
URA,5
INO,5
XLNX,4
CFO,4
UMC,4
TAL,4
MNDY,4
SKLZ,4
FUBO,4
CCS,4
TV,3
PLTR,3
BABA,3
USPS,3
BIG,3
NEW,3
III,3
PB,3
IMO,3
MRNA,3
STEEL,3
TSM,3
ASML,3
ADP,3
VIAC,3
STAY,2
NEED,2
CRSR,2
TWO,2
PLAY,2
ABC,2
VSS,2
IVR,2
MITT,2
MVIS,2
TELL,2
CAGR,2
ACB,2
MJ,2
HRC,2
CHAD,2
CARE,2
CASH,2
NVDA,2
IBM,2
SAP,2
NEXT,2
GNUS,2
IBD,2
LRCX,2
XL,2
OPEN,2
QQQ,2
NOK,2
BBQ,1
NUE,1
BQ,1
NDP,1
GPC,1
BTS,1
OG,1
UNFI,1
PSA,1
TX,1
CAI,1
UPS,1
SDC,1
NBA,1
LMT,1
COO,1
NKLA,1
PEG,1
CPA,1
JD,1
PEI,1
MSCI,1
API,1
FILL,1
RNG,1
TOP,1
SGA,1
FIND,1
ELSE,1
GEM,1
CS,1
UBS,1
ASO,1
CAP,1
JPM,1
NHI,1
PILL,1
TBEV,1
PLC,1
CG,1
BIIB,1
TAK,1
OC,1
MMS,1
OCGN,1
IBKR,1
EDIT,1
QCOM,1
BIDU,1
VMW,1
CSCO,1
MPA,1
DKNG,1
DXCM,1
OLED,1
HP,1
DELL,1
ZBRA,1
UCTT,1
BP,1
LOAN,1
MEG,1
BOIL,1
TGT,1
GPS,1
BOOM,1
HBI,1
VLDR,1
EVER,1
CAPEX,1
LULU,1
CDC,1
SNAP,1
OPK,1
GTE,1
WEN,1
LIFE,1
FUND,1
DTE,1
REIT,1
IJR,1
VXX,1
UVXY,1
IWM,1
SEE,1
MUST,1
COST,1
SPR,1
AER,1
AAL,1
VIPS,1
CEZ,1
Z,1
FICO,1
FB,1
CBD,1
THC,1
PRSP,1
,
